IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Eiffage SA,FGR,0.05%
Vifor Pharma AG TEMP,VIFNE,0.05%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.05%
Schindler Holding AG Pref,SCHP,0.04%
Epiroc AB Class B,EPI.B,0.04%
M&G Plc,MNG,0.04%
Swatch Group Ltd. Bearer,UHR,0.04%
IGO Limited,IGO,0.04%
Land Securities Group PLC,LAND,0.04%
K+S AG,SDF,0.04%
Smiths Group Plc,SMIN,0.04%
"Yakult Honsha Co., Ltd.",2267,0.04%
Lynas Rare Earths Limited,LYC,0.04%
Orkla ASA,ORK,0.04%
Isuzu Motors Limited,7202,0.04%
Commerzbank AG,CBK,0.04%
"Kansai Electric Power Company, Incorporated",9503,0.04%
Barratt Developments PLC,BDEV,0.04%
Nissan Chemical Corporation,4021,0.04%
Swiss Prime Site AG,SPSN,0.04%
CapitaLand Investment Limited,9CI,0.04%
Israel Discount Bank Limited Class A,DSCT,0.04%
"Mitsui O.S.K.Lines,Ltd.",9104,0.04%
LEG Immobilien SE,LEG,0.04%
"Toray Industries, Inc.",3402,0.04%
Bouygues SA,EN,0.04%
Sodexo SA,SW,0.04%
Kingfisher Plc,KGF,0.04%
Euronext NV,ENX,0.04%
Siemens Energy AG,ENR,0.04%
"T&D Holdings, Inc.",8795,0.04%
"Nippon Building Fund, Inc.",8951,0.04%
Red Electrica Corp. SA,REE,0.04%
Endeavour Group Ltd,EDV,0.04%
Daiwa Securities Group Inc.,8601,0.04%
HeidelbergCement AG,HEI,0.04%
Misumi Group Inc.,9962,0.04%
Continental AG,CON,0.04%
Henkel AG & Co. KGaA,HEN,0.04%
Disco Corporation,6146,0.04%
OZ Minerals Limited,OZL,0.04%
Mineral Resources Limited,MIN,0.04%
Melrose Industries PLC,MRO,0.04%
Tele2 AB Class B,TEL2.B,0.04%
SIG Combibloc Group Ltd,SIGN,0.04%
Bureau Veritas SA,BVI,0.04%
Pearson PLC,PSON,0.04%
Kesko Oyj Class B,KESKOB,0.04%
Shimadzu Corporation,7701,0.04%
Seek Limited,SEK,0.04%
Umicore,UMI,0.04%
Toyota Tsusho Corp.,8015,0.04%
GPT Group,GPT,0.04%
Ocado Group PLC,OCDO,0.04%
"Chubu Electric Power Company,Incorporated",9502,0.04%
DCC Plc,DCC,0.04%
"Daifuku Co., Ltd.",6383,0.04%
Prysmian S.p.A.,PRY,0.04%
Skanska AB Class B,SKA.B,0.04%
"TOKYO GAS Co., Ltd.",9531,0.04%
Insurance Australia Group Limited,IAG,0.04%
Rightmove plc,RMV,0.04%
AerCap Holdings NV,AER,0.04%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.04%
EXOR N.V.,EXO,0.04%
Meggitt PLC,MGGT,0.04%
Fortum Oyj,FORTUM,0.04%
AGC Inc.,5201,0.04%
Delivery Hero SE,DHER,0.04%
Stockland,SGP,0.04%
Getlink SE,GET,0.04%
Whitbread PLC,WTB,0.04%
A.P. Moller - Maersk A/S Class A,MAERSK.A,0.04%
Hamamatsu Photonics K.K.,6965,0.04%
Alstom SA,ALO,0.04%
Medibank Private Ltd.,MPL,0.04%
Mitsubishi Chemical Holdings Corporation,4188,0.04%
Associated British Foods plc,ABF,0.04%
Auto Trader Group PLC,AUTO,0.04%
Wharf Real Estate Investment Co. Ltd.,1997,0.04%
Adecco Group AG,ADEN,0.04%
Tenaris S.A.,TEN,0.04%
Trend Micro Incorporated,4704,0.04%
MTR Corporation Limited,66,0.04%
"Rakuten Group, Inc.",4755,0.04%
VERBUND AG Class A,VER,0.04%
Makita Corporation,6586,0.04%
Randstad NV,RAND,0.04%
HelloFresh SE,HFG,0.04%
CapitaLand Integrated Commercial Trust,C38U,0.04%
Volkswagen AG,VOW,0.04%
ASR Nederland NV,ASRNL,0.04%
OMV AG,OMV,0.04%
Chr. Hansen Holding A/S,CHR,0.04%
Solvay SA,SOLB,0.04%
Ascendas Real Estate Investment Trust,A17U,0.04%
MinebeaMitsumi Inc.,6479,0.04%
Mirvac Group,MGR,0.04%
CyberArk Software Ltd.,CYBR,0.04%
Keppel Corporation Limited,BN4,0.04%
EDP Renovaveis SA,EDPR,0.04%
Indutrade AB,INDT,0.04%
Bluescope Steel Limited,BSL,0.04%
Endesa S.A.,ELE,0.04%
Arkema SA,AKE,0.04%
ABN AMRO Bank NV Depositary receipts,ABN,0.03%
Metso Outotec Oyj,MOCORP,0.03%
"Idemitsu Kosan Co., Ltd.",5019,0.03%
Tate & Lyle PLC,TATE,0.03%
Ebara Corporation,6361,0.03%
Aker BP ASA,AKRBP,0.03%
Sofina SA,SOF,0.03%
"Yamato Holdings Co., Ltd.",9064,0.03%
"Nomura Real Estate Master Fund, Inc.",3462,0.03%
Berkeley Group Holdings plc,BKG,0.03%
ALS Ltd.,ALQ,0.03%
SalMar ASA,SALM,0.03%
Charter Hall Group,CHC,0.03%
Elia Group SA/NV,ELI,0.03%
Temenos AG,TEMN,0.03%
"Dai Nippon Printing Co., Ltd.",7912,0.03%
Orion Oyj Class B,ORNBV,0.03%
Henderson Land Development Co. Ltd.,12,0.03%
Bank of Ireland Group Plc,BIRG,0.03%
TIS Inc.,3626,0.03%
Tower Semiconductor Ltd,TSEM,0.03%
Georg Fischer AG,FI.N,0.03%
Admiral Group plc,ADM,0.03%
Suntory Beverage & Food Ltd.,2587,0.03%
Abrdn plc,ABDN,0.03%
JD Sports Fashion Plc,JD,0.03%
BELIMO Holding AG,BEAN,0.03%
GLP-J REIT,3281,0.03%
"IBIDEN CO., LTD.",4062,0.03%
Diploma PLC,DPLM,0.03%
"SBI Holdings, Inc.",8473,0.03%
Rexel SA,RXL,0.03%
"Rohm Co., Ltd.",6963,0.03%
