VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Erste Group Bank AG,EBS,0.05%
Edenred SA,EDEN,0.05%
NEC Corp.,6701,0.05%
Informa Plc,INF,0.05%
Asahi Kasei Corporation,3407,0.05%
Swedish Match AB,SWMA,0.05%
Brambles Limited,BXB,0.05%
Snam S.p.A.,SRG,0.05%
Chocoladefabriken Lindt & Spruengli AG,LISN,0.05%
Sonic Healthcare Limited,SHL,0.05%
Terna S.p.A.,TRN,0.05%
Spirax-Sarco Engineering PLC,SPX,0.05%
Logitech International S.A.,LOGN,0.05%
Boliden AB,BOL,0.05%
Nitto Denko Corp.,6988,0.05%
"Hyundai Mobis Co., Ltd",012330,0.05%
Danske Bank A/S,DANSKE,0.05%
Toyota Industries Corp.,6201,0.05%
Halma plc,HLMA,0.05%
Scentre Group,SCG,0.05%
"Sumitomo Realty & Development Co., Ltd.",8830,0.05%
Burberry Group plc,BRBY,0.05%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.05%
Epiroc AB Class A,EPI.A,0.05%
Galaxy Entertainment Group Limited,27,0.05%
Schindler Holding AG Pref,SCHP,0.04%
Lenovo Group Limited,992,0.04%
Swatch Group Ltd. Bearer,UHR,0.04%
IMCD N.V.,IMCD,0.04%
"Japan Exchange Group, Inc.",8697,0.04%
ageas SA/NV,AGS,0.04%
Pandora A/S,PNDORA,0.04%
Dentsu Group Inc.,4324,0.04%
Smiths Group Plc,SMIN,0.04%
TFI International Inc.,TFII,0.04%
Admiral Group plc,ADM,0.04%
"Mitsubishi Heavy Industries, Ltd.",7011,0.04%
Commerzbank AG,CBK,0.04%
Svenska Cellulosa AB SCA Class B,SCA.B,0.04%
Barratt Developments PLC,BDEV,0.04%
"Mitsui O.S.K.Lines,Ltd.",9104,0.04%
LEG Immobilien SE,LEG,0.04%
Sage Group plc,SGE,0.04%
"Toray Industries, Inc.",3402,0.04%
"Waste Connections, Inc.",WCN,0.04%
Power Assets Holdings Limited,6,0.04%
Barry Callebaut AG,BARN,0.04%
APA Group,APA,0.04%
Nexi S.p.A.,NEXI,0.04%
Kingfisher Plc,KGF,0.04%
